make,model,vehicle_style,year,engine_hp,msrp,hp_per_1000$
Ferrari,456M,Coupe,2002,442,224585,1.97
Ferrari,456M,Coupe,2003,442,224585,1.97
Ferrari,599,Coupe,2009,611,310543,1.97
Ferrari,599,Coupe,2010,611,310543,1.97
Bentley,Arnage,Sedan,2009,450,224990,2
"Aston Martin","V12 Vanquish",Coupe,2006,520,260000,2
"Aston Martin",Vanquish,Coupe,2015,568,283695,2
Ferrari,456M,Coupe,2001,442,219775,2.01
Bentley,Arnage,Sedan,2009,500,246990,2.02
Bentley,Arnage,Sedan,2007,450,221990,2.03
Bentley,Arnage,Sedan,2008,450,221990,2.03
"Aston Martin",Vanquish,Coupe,2014,565,278295,2.03
"Aston Martin","V12 Vanquish",Coupe,2005,520,255000,2.04
Rolls-Royce,Wraith,Coupe,2016,624,304350,2.05
Ferrari,"458 Italia",Coupe,2015,597,291744,2.05
Bentley,Arnage,Sedan,2007,500,242990,2.06
Bentley,Arnage,Sedan,2008,500,242990,2.06
Ferrari,F430,Coupe,2007,483,234945,2.06
"Aston Martin",Rapide,Sedan,2012,470,226850,2.07
Ferrari,"458 Italia",Coupe,2014,597,288000,2.07
Ferrari,F430,Convertible,2008,483,228447,2.11
Ferrari,F430,Convertible,2009,483,229447,2.11
Rolls-Royce,Wraith,Coupe,2015,624,294025,2.12
Ferrari,"458 Italia",Convertible,2015,562,263553,2.13
Rolls-Royce,Ghost,Sedan,2014,563,263200,2.14
Bentley,"Supersports Convertible ISR",Convertible,2013,631,291900,2.16
Ferrari,"458 Italia",Convertible,2013,562,257412,2.18
Ferrari,"458 Italia",Convertible,2014,562,257412,2.18
"Aston Martin",Virage,Convertible,2012,490,223295,2.19
Rolls-Royce,Wraith,Coupe,2014,624,284900,2.19
Rolls-Royce,Ghost,Sedan,2013,563,256650,2.19
Ferrari,F430,Convertible,2009,483,218310,2.21
Ferrari,FF,Coupe,2014,651,295000,2.21
Ferrari,FF,Coupe,2015,651,295000,2.21
Bentley,"Continental Supersports Convertible",Convertible,2011,621,280400,2.21
Bentley,"Continental Supersports Convertible",Convertible,2012,621,280400,2.21
Ferrari,360,Convertible,2004,400,180408,2.22
Ferrari,F430,Convertible,2008,483,217310,2.22
Lamborghini,Gallardo,Coupe,2014,570,256300,2.22
Rolls-Royce,Ghost,Sedan,2012,563,250000,2.25
Bentley,"Continental GT",Convertible,2016,521,231800,2.25
Ferrari,575M,Coupe,2003,515,228339,2.26
Ferrari,575M,Coupe,2004,515,228339,2.26
"Aston Martin",Rapide,Sedan,2011,470,207895,2.26
"Aston Martin",Rapide,Sedan,2012,470,207895,2.26
Mercedes-Benz,"SLS AMG GT",Coupe,2014,622,275000,2.26
Ferrari,360,Convertible,2003,400,176287,2.27
Ferrari,360,Coupe,2004,425,187124,2.27
Lamborghini,Gallardo,Convertible,2014,570,251600,2.27
Lamborghini,Gallardo,Convertible,2014,570,251600,2.27
Ferrari,"F12 Berlinetta",Coupe,2015,731,319995,2.28
Ferrari,F430,Convertible,2007,483,211525,2.28
Ferrari,575M,Coupe,2002,515,224670,2.29
McLaren,"650S Spider",Convertible,2015,641,280225,2.29
Bentley,"Continental GT",Convertible,2016,500,218400,2.29
"Aston Martin","DB9 GT",Coupe,2016,540,235307,2.29
Lamborghini,Gallardo,Convertible,2012,570,248000,2.3
Lamborghini,Gallardo,Convertible,2013,570,248000,2.3
Ferrari,"F12 Berlinetta",Coupe,2013,731,315888,2.31
Ferrari,"F12 Berlinetta",Coupe,2014,731,315888,2.31
Ferrari,California,Convertible,2012,453,195840,2.31
Bentley,"Continental Supersports",Coupe,2010,621,267000,2.33
Bentley,"Continental Supersports",Coupe,2011,621,267000,2.33
Bentley,"Continental Supersports",Coupe,2012,621,267000,2.33
Lamborghini,Huracan,Convertible,2016,610,262350,2.33
Ferrari,360,Convertible,2002,400,170829,2.34
Ferrari,360,Convertible,2004,400,169900,2.35
Ferrari,"458 Italia",Coupe,2015,562,239340,2.35
"Aston Martin",Virage,Coupe,2012,490,208295,2.35
Lamborghini,Gallardo,Coupe,2014,570,241200,2.36
Lamborghini,Gallardo,Coupe,2014,570,241200,2.36
Ferrari,550,Coupe,2001,485,205840,2.36
Ferrari,575M,Coupe,2003,515,217890,2.36
Ferrari,575M,Coupe,2004,515,217890,2.36
Bentley,"Continental GT",Convertible,2015,521,219400,2.37
Bentley,"Continental GT",Convertible,2016,626,263400,2.38
"Aston Martin",Rapide,Sedan,2010,470,197850,2.38
"Aston Martin",DB9,Convertible,2015,510,213295,2.39
Ferrari,575M,Coupe,2002,515,214670,2.4
Ferrari,F430,Convertible,2007,483,201213,2.4
Lamborghini,Gallardo,Coupe,2012,570,237600,2.4
Lamborghini,Gallardo,Coupe,2013,570,237600,2.4
Ferrari,F430,Coupe,2009,483,200054,2.41
Ferrari,360,Convertible,2003,400,165986,2.41
Ferrari,"458 Italia",Coupe,2013,562,233509,2.41
Ferrari,"458 Italia",Coupe,2014,562,233509,2.41
McLaren,"650S Coupe",Coupe,2015,641,265500,2.41
Bentley,"Continental GTC",Convertible,2014,521,216200,2.41
Bentley,"Continental GT",Convertible,2015,500,206300,2.42
Ferrari,F430,Coupe,2008,483,199054,2.43
Ferrari,California,Convertible,2013,483,198190,2.44
Ferrari,California,Convertible,2014,483,198190,2.44
Bentley,"Continental GT",Convertible,2016,582,236100,2.47
Bentley,"Continental GT",Coupe,2016,521,210700,2.47
Lamborghini,Gallardo,Convertible,2012,560,225400,2.48
Lamborghini,Gallardo,Convertible,2013,560,225400,2.48
Lamborghini,Gallardo,Convertible,2014,560,225400,2.48
Lamborghini,Gallardo,Convertible,2014,560,225400,2.48
Bentley,"Flying Spur",Sedan,2016,500,201000,2.49
Maserati,"GranTurismo Convertible",Convertible,2015,454,182009,2.49
Maserati,"GranTurismo Convertible",Convertible,2016,454,182009,2.49
Ferrari,360,Convertible,2002,400,160829,2.49
Bentley,"Continental GT",Convertible,2015,626,250100,2.5
"Aston Martin",DB9,Convertible,2015,510,203295,2.51
Mercedes-Benz,S-Class,Convertible,2017,621,247900,2.51
Bentley,"Continental GT",Coupe,2016,500,198500,2.52
"Aston Martin","DB9 GT",Convertible,2016,540,213250,2.53
Ferrari,360,Coupe,2004,400,157767,2.54
Bentley,"Continental GT",Convertible,2015,567,223600,2.54
Bentley,"Continental GTC Speed",Convertible,2011,600,236100,2.54
"Aston Martin",DB9,Convertible,2014,510,200800,2.54
Bentley,"Continental GTC",Convertible,2014,500,195200,2.56
Mercedes-Benz,"SLS AMG GT Final Edition",Convertible,2015,583,228080,2.56
Bentley,"Flying Spur",Sedan,2015,500,195100,2.56
Lamborghini,Huracan,Coupe,2016,610,238500,2.56
Ferrari,F430,Coupe,2009,483,187925,2.57
Lamborghini,Huracan,Coupe,2015,610,237250,2.57
McLaren,MP4-12C,Coupe,2013,616,239400,2.57
"Aston Martin",DB9,Convertible,2013,510,198700,2.57
"Aston Martin",DB9,Coupe,2015,510,198295,2.57
Ferrari,F430,Coupe,2008,483,186925,2.58
McLaren,MP4-12C,Coupe,2012,592,229000,2.59
Bentley,"Continental GTC Speed",Convertible,2010,600,231400,2.59
Bentley,"Continental GTC",Convertible,2014,567,218500,2.59
Ferrari,360,Coupe,2003,400,154090,2.6
"Aston Martin","V12 Vantage",Coupe,2012,510,195895,2.6
"Aston Martin","V12 Vantage",Coupe,2012,510,195895,2.6
Bentley,"Continental GT",Coupe,2015,521,199700,2.61
Bentley,"Continental GT",Coupe,2016,626,239400,2.61
Bentley,"Continental GTC",Convertible,2013,500,191400,2.61
Bentley,"Continental GT Speed Convertible",Convertible,2014,626,238700,2.62
Ferrari,F430,Coupe,2007,483,184309,2.62
Lamborghini,Gallardo,Convertible,2013,550,209500,2.63
Lamborghini,Gallardo,Convertible,2014,550,209500,2.63
Mercedes-Benz,"SLS AMG GT Final Edition",Coupe,2015,583,221580,2.63
Mercedes-Benz,S-Class,Coupe,2016,621,234050,2.65
Ferrari,360,Coupe,2002,400,150694,2.65
Bentley,"Continental GT",Coupe,2014,521,196500,2.65
Bentley,"Continental GT",Coupe,2015,500,187900,2.66
Bentley,"Continental GTC",Convertible,2012,567,212800,2.66
Bentley,"Continental GTC",Convertible,2013,567,212800,2.66
"Aston Martin","V12 Vantage",Coupe,2011,510,191995,2.66
"Aston Martin","Rapide S",Sedan,2016,552,206000,2.68
Mercedes-Benz,S-Class,Coupe,2015,621,230900,2.69
"Aston Martin",DB7,Coupe,2003,420,156300,2.69
Ferrari,360,Coupe,2004,400,147332,2.71
Bentley,"Continental GT",Coupe,2016,582,214600,2.71
"Aston Martin",DB9,Coupe,2015,510,188295,2.71
"Aston Martin","Rapide S",Sedan,2015,552,203995,2.71
"Land Rover","Range Rover","4dr SUV",2016,254,93450,2.72
"Aston Martin","DB9 GT",Coupe,2016,540,198250,2.72
"Land Rover","Range Rover","4dr SUV",2015,510,186495,2.73
Mercedes-Benz,Maybach,Sedan,2017,523,191300,2.73
Maserati,GranTurismo,Coupe,2015,454,165627,2.74
Maserati,GranTurismo,Coupe,2016,454,165627,2.74
BMW,Alpina,Convertible,2003,375,136900,2.74
"Aston Martin",DB9,Coupe,2014,510,185800,2.74
Mercedes-Benz,S-Class,Sedan,2017,621,226900,2.74
Bentley,"Continental GT",Coupe,2015,626,227600,2.75
Mercedes-Benz,Maybach,Sedan,2016,523,189350,2.76
Audi,R8,Convertible,2015,550,199600,2.76
"Land Rover","Range Rover","4dr SUV",2016,550,199495,2.76
Mercedes-Benz,S-Class,Sedan,2016,621,224650,2.76
"Land Rover","Range Rover","4dr SUV",2014,510,184105,2.77
"Land Rover","Range Rover","4dr SUV",2014,510,184105,2.77
"Aston Martin","Rapide S",Sedan,2014,550,198250,2.77
"Aston Martin",DB7,Convertible,2003,420,151800,2.77
Bentley,"Flying Spur",Sedan,2016,616,222300,2.77
Lamborghini,Gallardo,Coupe,2012,560,202000,2.77
Lamborghini,Gallardo,Coupe,2013,560,202000,2.77
Lamborghini,Gallardo,Coupe,2014,560,202000,2.77
Lamborghini,Gallardo,Coupe,2014,560,202000,2.77
"Aston Martin","V8 Vantage",Convertible,2016,430,154495,2.78
Ferrari,360,Coupe,2003,400,143860,2.78
Ferrari,"California T",Convertible,2015,553,198973,2.78
"Aston Martin",DB7,Coupe,2003,435,156300,2.78
"Aston Martin",DB9,Coupe,2013,510,183700,2.78
Bentley,"Continental GT",Coupe,2015,567,203500,2.79
Ferrari,F430,Coupe,2007,483,173079,2.79
Mercedes-Benz,S-Class,Sedan,2015,621,222000,2.8
Mercedes-Benz,"SLS AMG GT",Convertible,2014,583,208000,2.8
"Aston Martin","V8 Vantage",Convertible,2015,430,153195,2.81
"Aston Martin","V12 Vantage",Coupe,2011,510,180535,2.82
"Aston Martin","V12 Vantage",Coupe,2012,510,180535,2.82
"Aston Martin","V12 Vantage",Coupe,2012,510,180535,2.82
Lamborghini,Gallardo,Coupe,2014,560,198900,2.82
Maserati,"GranTurismo Convertible",Convertible,2015,454,161070,2.82
Maserati,"GranTurismo Convertible",Convertible,2016,454,161070,2.82
Audi,A8,Sedan,2016,240,85200,2.82
Bentley,"Continental GT",Coupe,2014,500,177500,2.82
Mercedes-Benz,SL-Class,Convertible,2017,621,219850,2.82
Mercedes-Benz,"SLS AMG GT",Convertible,2013,583,206000,2.83
Acura,NSX,Coupe,2004,252,89000,2.83
Acura,NSX,Coupe,2005,252,89000,2.83
Porsche,Panamera,Sedan,2015,570,200500,2.84
Porsche,Panamera,Sedan,2016,570,200500,2.84
Ferrari,360,Coupe,2002,400,140615,2.84
Porsche,911,Coupe,2016,500,175900,2.84
Bentley,"Continental GT Speed",Coupe,2014,616,217000,2.84
Bentley,"Continental GT",Coupe,2014,567,198600,2.85
Audi,R8,Coupe,2015,570,199900,2.85
Mercedes-Benz,SL-Class,Convertible,2016,621,217550,2.85
"Aston Martin","V12 Vantage S",Convertible,2016,565,198195,2.85
"Aston Martin","V8 Vantage",Convertible,2014,430,150900,2.85
Bentley,"Flying Spur",Sedan,2015,616,215800,2.85
Mercedes-Benz,G-Class,"4dr SUV",2016,621,217900,2.85
Bentley,"Continental Flying Spur Speed",Sedan,2012,600,209600,2.86
Bentley,"Continental Flying Spur Speed",Sedan,2013,600,209600,2.86
Lamborghini,Gallardo,Coupe,2012,550,191900,2.87
Lamborghini,Gallardo,Coupe,2013,550,191900,2.87
Lamborghini,Gallardo,Coupe,2014,550,191900,2.87
Lamborghini,Gallardo,Coupe,2014,550,191900,2.87
Mercedes-Benz,"SLS AMG",Convertible,2012,563,196100,2.87
Porsche,911,Convertible,2015,560,194600,2.88
Porsche,911,Convertible,2016,560,194600,2.88
Mercedes-Benz,CL-Class,Coupe,2014,621,215500,2.88
Porsche,911,Convertible,2017,580,200400,2.89
Bentley,"Continental GT Speed",Coupe,2010,600,207700,2.89
Audi,R8,Convertible,2015,550,190600,2.89
Mercedes-Benz,"SLS AMG GT",Coupe,2014,583,201500,2.89
"Aston Martin","V8 Vantage",Convertible,2016,430,148795,2.89
Bentley,"Continental Flying Spur Speed",Sedan,2011,600,206600,2.9
Lamborghini,Huracan,Coupe,2016,580,199800,2.9
Mercedes-Benz,SL-Class,Convertible,2015,621,214500,2.9
Mercedes-Benz,CL-Class,Coupe,2013,621,213200,2.91
Mercedes-Benz,"SLS AMG GT",Coupe,2013,583,199500,2.92
"Aston Martin","V8 Vantage",Convertible,2015,430,147495,2.92
Lamborghini,Gallardo,Coupe,2012,550,187900,2.93
"Land Rover","Range Rover","4dr SUV",2016,254,86450,2.94
Mercedes-Benz,CL-Class,Coupe,2012,621,211000,2.94
"Aston Martin",DB7,Coupe,2003,420,141800,2.96
Maserati,"GranTurismo Convertible",Convertible,2014,454,153400,2.96
"Aston Martin","V8 Vantage",Convertible,2014,430,145200,2.96
Mercedes-Benz,"SLS AMG",Coupe,2012,563,189600,2.97
Audi,R8,Convertible,2015,525,175100,3
BMW,Z8,Convertible,2003,394,131500,3
Bentley,"Continental Flying Spur",Sedan,2012,552,184200,3
Bentley,"Continental Flying Spur",Sedan,2013,552,184200,3
Audi,R8,Coupe,2015,550,182500,3.01
Audi,R8,Convertible,2014,525,173800,3.02
Maserati,"GranTurismo Convertible",Convertible,2015,454,150465,3.02
Maserati,"GranTurismo Convertible",Convertible,2016,454,150465,3.02
Maserati,GranTurismo,Coupe,2015,454,150570,3.02
Maserati,GranTurismo,Coupe,2016,454,150570,3.02
BMW,Z8,Convertible,2002,394,130000,3.03
"Aston Martin","V8 Vantage",Convertible,2016,430,141495,3.04
McLaren,570S,Coupe,2016,562,184900,3.04
Bentley,"Continental Flying Spur",Sedan,2011,552,181200,3.05
Maserati,"GranTurismo Convertible",Convertible,2015,444,145740,3.05
Maserati,"GranTurismo Convertible",Convertible,2016,444,145740,3.05
Audi,R8,Coupe,2014,550,179645,3.06
Mercedes-Benz,S-Class,Sedan,2017,523,170750,3.06
Porsche,911,Coupe,2015,560,182700,3.07
Porsche,911,Coupe,2016,560,182700,3.07
"Aston Martin","V8 Vantage",Convertible,2014,420,136900,3.07
"Aston Martin","V8 Vantage",Coupe,2016,430,139995,3.07
Bentley,"Flying Spur",Sedan,2014,616,200500,3.07
Porsche,911,Coupe,2017,580,188100,3.08
Mercedes-Benz,"SLS AMG",Coupe,2011,563,183000,3.08
"Aston Martin","V12 Vantage S",Coupe,2016,565,183695,3.08
BMW,Z8,Convertible,2001,394,128000,3.08
BMW,"7 Series",Sedan,2015,255,82500,3.09
Mercedes-Benz,S-Class,Sedan,2016,523,169050,3.09
"Aston Martin","V12 Vantage S",Coupe,2015,565,182395,3.1
"Aston Martin","V8 Vantage",Coupe,2015,430,138695,3.1
"Aston Martin","V8 Vantage",Convertible,2015,430,138195,3.11
Audi,R8,Convertible,2015,430,138400,3.11
Audi,R8,Convertible,2014,430,137500,3.13
Mercedes-Benz,S-Class,Sedan,2015,523,166900,3.13
"Aston Martin","V8 Vantage",Coupe,2014,430,136400,3.15
Porsche,911,Convertible,2017,540,171500,3.15
Mercedes-Benz,CL-Class,Coupe,2014,510,162000,3.15
Audi,R8,Convertible,2015,525,166100,3.16
Porsche,Panamera,Sedan,2015,570,180300,3.16
Porsche,Panamera,Sedan,2016,570,180300,3.16
Maserati,"GranTurismo Convertible",Convertible,2014,454,143300,3.17
Maserati,GranTurismo,Coupe,2014,454,143400,3.17
Audi,R8,Coupe,2015,550,173500,3.17
"Aston Martin","V8 Vantage",Convertible,2016,430,135795,3.17
Mercedes-Benz,CL-Class,Coupe,2013,510,160300,3.18
Porsche,911,Convertible,2015,520,163000,3.19
Porsche,911,Convertible,2016,520,163000,3.19
Audi,R8,Convertible,2014,525,164700,3.19
"Aston Martin","V8 Vantage",Convertible,2014,420,131200,3.2
"Aston Martin","V8 Vantage",Coupe,2016,430,134295,3.2
Maserati,"GranTurismo Convertible",Convertible,2014,444,138800,3.2
Acura,"ILX Hybrid",Sedan,2014,111,34600,3.21
Audi,R8,Coupe,2017,610,189900,3.21
Mercedes-Benz,CL-Class,Coupe,2012,510,158700,3.21
Audi,R8,Coupe,2014,550,170545,3.22
Audi,R8,Coupe,2015,525,162900,3.22
Porsche,Panamera,Sedan,2015,520,161100,3.23
Porsche,Panamera,Sedan,2016,520,161100,3.23
"Aston Martin","V8 Vantage",Coupe,2015,430,132995,3.23
Porsche,911,Convertible,2015,430,132800,3.24
Porsche,911,Convertible,2016,430,132800,3.24
Porsche,911,Coupe,2016,430,132800,3.24
"Aston Martin","V8 Vantage",Convertible,2015,430,132495,3.25
Acura,NSX,Coupe,2004,290,89000,3.26
Acura,NSX,Coupe,2005,290,89000,3.26
Mercedes-Benz,S-Class,Convertible,2017,577,176400,3.27
Audi,R8,Coupe,2014,525,160300,3.28
"Aston Martin","V8 Vantage",Coupe,2014,430,130700,3.29
Audi,A7,Sedan,2016,240,73050,3.29
Audi,R8,Coupe,2017,540,162900,3.31
Mercedes-Benz,G-Class,"4dr SUV",2015,382,115400,3.31
Audi,R8,Convertible,2015,430,129400,3.32
Audi,A7,Sedan,2015,240,72150,3.33
Porsche,Panamera,Sedan,2015,420,125600,3.34
Porsche,Panamera,Sedan,2016,420,125600,3.34
Porsche,911,Convertible,2016,350,104600,3.35
Audi,R8,Convertible,2014,430,128400,3.35
Porsche,911,Coupe,2017,540,159200,3.39
"Aston Martin","V8 Vantage",Coupe,2016,430,126995,3.39
Porsche,911,Convertible,2015,350,102930,3.4
Porsche,911,Convertible,2015,400,117530,3.4
Porsche,911,Convertible,2016,350,102930,3.4
Porsche,911,Convertible,2016,400,117530,3.4
Porsche,911,Coupe,2016,350,102930,3.4
Porsche,911,Coupe,2016,400,117530,3.4
Porsche,911,Convertible,2015,430,126100,3.41
Porsche,911,Convertible,2016,430,126100,3.41
Porsche,911,Coupe,2017,370,108600,3.41
Porsche,911,Convertible,2017,370,108600,3.41
Audi,A7,Sedan,2016,240,70400,3.41
Audi,R8,Coupe,2015,525,153900,3.41
Mercedes-Benz,S-Class,Convertible,2017,449,131400,3.42
Maserati,GranTurismo,Coupe,2015,454,132825,3.42
Maserati,GranTurismo,Coupe,2016,454,132825,3.42
Lotus,Exige,Coupe,2009,257,74995,3.43
Lotus,Exige,Coupe,2011,257,74950,3.43
"Land Rover","Range Rover","4dr SUV",2015,340,98995,3.43
Porsche,911,Coupe,2017,420,122600,3.43
Porsche,911,Convertible,2017,420,122600,3.43
"Aston Martin","V8 Vantage",Coupe,2014,420,122400,3.43
Audi,R8,Coupe,2015,430,124900,3.44
Porsche,911,Coupe,2015,350,101600,3.44
Porsche,911,Coupe,2015,400,116200,3.44
Porsche,911,Coupe,2015,520,151100,3.44
Porsche,911,Coupe,2016,520,151100,3.44
"Alfa Romeo",4C,Coupe,2015,237,68400,3.46
Mercedes-Benz,CL-Class,Coupe,2014,536,154600,3.47
